,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
54,/new-property/property/kepong/residensi-ava/new-6067/,Residensi Ava,2,0,"Kiara Bay, Kepong, Kuala Lumpur ",1049.0,1,2,2559,2,-,-, Kuala Lumpur
56,/property/jalan-klang-lama-old-klang-road/waltz-residences/sale-7905323/,"Waltz Residences, Taman Yarl, Jalan Klang Lama (Old Klang Road)",2,708000,"Jalan Awan Besar, Taman Yarl, 58200, Kuala Lumpur ",948.0,3,2,3191,-,5,4, Kuala Lumpur
57,/property/seputeh/avara/sale-7905653/,"Avara, Seputeh",2,680000,"Jalan Seputeh, Seputeh, 58000, Kuala Lumpur ",829.0,2,2,3065,-,5,4, Kuala Lumpur
58,/new-property/property/puchong/puchong-legenda/new-6051/,Puchong Legenda,4,0,"Puchong, Selangor ",4185.5,5,5 - 6,4227,4,-,-, Selangor
59,/property/alam-impian/sale-8409806/,"NICE 2sty N LOT, Sephira, TTDI ALAM IMPIAN, Alam Impian",4,990000,"TTDI Alam Impian, NICE 2sty N LOT, Sephira, TTDI ALAM IMPIAN, Selangor ",2969.0,5,5,4462,4,5,2, Selangor
60,/property/johor-bahru/sale-8427619/,"JP Perdana, Johor Bahru",4,448000,"Jalan Jaya Putra 2/xx, JP Perdana, 81100, Johor ",1540.0,3,2,2019,4,5,4, Johor
61,/property/horizon-hills/sale-8140902/,"Horizon Hills, The Gateway, Horizon Hills",4,669000,"Horizon Hills, Horizon Hills, The Gateway, 79100, Johor ",1845.0,4,3,3015,4,5,4, Johor
62,/new-property/property/shah-alam/city-of-elmina-ilham-residence/new-6071/,City of Elmina : Ilham Residence,4,0,"City Of Elmina, Shah Alam, Selangor ",1864.0,2,2 - 3,2897,4,-,-, Selangor
63,/property/iskandar-puteri-nusajaya/sale-8291470/,"Eco Botanic, Davenham, Nusajaya, Iskandar Puteri (Nusajaya)",4,948000,"Eco Botanic,Horizon Hills,East Ledang,Bukit Indah,Nusa Duta,Nusa Idaman,Nusa Sentral, Eco Botanic, Davenham, Nusajaya, 79100, Johor ",2340.0,5,5,4272,4,5,2, Johor
64,/property/iskandar-puteri-nusajaya/sale-8283359/,"Eco Botanic, Eastwell, Nusajaya, Iskandar Puteri (Nusajaya)",3,1550000,"Eco Botanic, Eastwell, Nusajaya, Eco Botanic, Eastwell, Nusajaya, 79100, Johor ",3200.0,5,5,6986,4,5,2, Johor
65,/property/klcc/star-residences-one/sale-8355285/,"Star Residences One, KLCC",2,1150000,"Jalan Yap Kwan Seng, KLCC, Kuala Lumpur ",625.0,1,1,5183,4,5,1, Kuala Lumpur
66,/property/seremban/sale-7257000/,"Seremban TTJ, Seremban",4,445455,"Seremban TTJ, Negeri Sembilan ",1812.0,4,3,2008,4,5,-, Negeri Sembilan
67,/property/seremban/sale-8147465/,"Taman Seremban Jaya, Seremban South, Seremban",1,543000,"Taman Seremban Jaya, Seremban South, Negeri Sembilan ",1726.0,4,2,2447,4,5,-, Negeri Sembilan
68,/property/seremban/sale-7189893/,"FOREST HEIGHTS , Seremban, Seremban",4,570600,"FOREST HEIGHTS , Seremban, Negeri Sembilan ",2520.0,4,4,2572,4,5,-, Negeri Sembilan
69,/property/seremban/sale-8263067/,"Bandar Springhill, Sendayan, Seremban, Seremban",4,350000,"Bandar Springhill, Sendayan, Seremban, Negeri Sembilan ",2602.0,4,3,1577,4,5,-, Negeri Sembilan
70,/property/horizon-hills/sale-8140655/,"Horizon Hills, Canal Garden, Horizon Hills",4,780000,"Horizon Hills, Canal Garden, Horizon Hills, Canal Garden, 79100, Johor ",2300.0,5,5,3515,4,5,2, Johor
71,/property/horizon-hills/sale-8269342/,"Horizon Hills, Valley West, Horizon Hills",4,730000,"Jaln Gita, Horizon Hills, Horizon Hills, Valley West, 79100, Johor ",2300.0,5,4,3290,4,5,2, Johor
